Time,Option_Description_orig,Expiration_Date,Strike_Price,Option_Type,TradeQuantity,Trade_Price,Option_Bid,Option_Ask,Delta,IV,Underlying_Price,Condition,Exchange,Aggressor
2025-05-23 12:30:01,20 JUN 25 200 C,2025-06-20,200.0,C,1,0.85,0.85,0.9,0.08,0.5531,159.1231,,NYSE,Seller (At Bid)
2025-05-23 12:30:06,30 MAY 25 155 C,2025-05-30,155.0,C,1,7.35,7.25,7.5,0.65,0.5668,159.1231,Spread,BEST,Between Bid/Ask
2025-05-23 12:30:15,30 MAY 25 148 P,2025-05-30,148.0,P,1,1.21,0.98,1.29,-0.17,0.575,159.1231,,PHLX,Between Bid/Ask
2025-05-23 12:30:22,30 MAY 25 160 C,2025-05-30,160.0,C,7,4.48,4.45,4.7,0.49,0.5468999999999999,159.1231,,BOX,Between Bid/Ask
2025-05-23 12:30:22,30 MAY 25 160 C,2025-05-30,160.0,C,8,4.48,4.45,4.7,0.49,0.5468999999999999,159.1231,,BOX,Between Bid/Ask
2025-05-23 12:30:24,20 JUN 25 160 P,2025-06-20,160.0,P,1,10.3,10.15,10.45,-0.48,0.5711999999999999,159.1231,,CBOE,Between Bid/Ask
2025-05-23 12:30:24,20 JUN 25 160 P,2025-06-20,160.0,P,1,10.3,10.15,10.45,-0.48,0.5711999999999999,159.1231,,CBOE,Between Bid/Ask
2025-05-23 12:30:24,20 JUN 25 160 P,2025-06-20,160.0,P,3,10.31,10.15,10.45,-0.48,0.5717,159.1231,,CBOE,Between Bid/Ask
2025-05-23 12:30:24,20 JUN 25 160 P,2025-06-20,160.0,P,3,10.31,10.15,10.45,-0.48,0.5717,159.1231,,CBOE,Between Bid/Ask
2025-05-23 12:30:26,30 MAY 25 165 C,2025-05-30,165.0,C,101,2.53,2.53,2.68,0.33,0.5414,159.1231,,BOX,Seller (At Bid)
2025-05-23 12:30:27,30 MAY 25 165 C,2025-05-30,165.0,C,1,2.53,2.53,2.54,0.33,0.5414,159.1231,,BEST,Seller (At Bid)
2025-05-23 12:30:27,30 MAY 25 165 C,2025-05-30,165.0,C,55,2.53,2.53,2.54,0.33,0.5414,159.1231,,BEST,Seller (At Bid)
